data 	64 	143
-2.5	2.5	0.0
2.5	2.5 	0.0
2.5 	2.5 	5.0
2.5 	2.5	10.0
2.5 	2.5	15.0
-2.5	2.5	15.0
-7.5	2.5	15.0
-7.5	2.5	20.0
-7.5	2.5	25.0
-2.5	2.5	25.0
2.5	2.5	25.0
7.5	2.5	25.0
7.5	2.5	20.0
12.5	2.5	20.0
12.5	2.5	25.0
12.5	2.5	30.0
7.5	2.5	30.0
2.5	2.5	30.0
2.5	2.5	35.0
2.5	2.5	40.0
-2.5	2.5	40.0
-2.5	2.5	35.0
-2.5	2.5	30.0
-7.5	2.5	30.0
-12.5	2.5	30.0
-12.5	2.5	25.0
-12.5	2.5	20.0
-12.5	2.5	15.0
-12.5	2.5	10.0
-7.5	2.5	10.0
-2.5	2.5	10.0
-2.5	2.5	5.0
-2.5	-2.5	0.0
2.5	-2.5 	0.0
2.5 	-2.5 	5.0
2.5 	-2.5	10.0
2.5 	-2.5	15.0
-2.5	-2.5	15.0
-7.5	-2.5	15.0
-7.5	-2.5	20.0
-7.5	-2.5	25.0
-2.5	-2.5	25.0
2.5	-2.5	25.0
7.5	-2.5	25.0
7.5	-2.5	20.0
12.5	-2.5	20.0
12.5	-2.5	25.0
12.5	-2.5	30.0
7.5	-2.5	30.0
2.5	-2.5	30.0
2.5	-2.5	35.0
2.5	-2.5	40.0
-2.5	-2.5	40.0
-2.5	-2.5	35.0
-2.5	-2.5	30.0
-7.5	-2.5	30.0
-12.5	-2.5	30.0
-12.5	-2.5	25.0
-12.5	-2.5	20.0
-12.5	-2.5	15.0
-12.5	-2.5	10.0
-7.5	-2.5	10.0
-2.5	-2.5	10.0
-2.5	-2.5	5.0
3	2	0	1
3	31	0	2
3	3	31	2
3	30	31	3
3	4	30	3
3	5	30	4
3	5	29	30
3	6	29	5
3	6	28	29
3	6	28	29
3	27	28	6
3	7	27	6
3	26	27	7
3	8	26	7
3	25	26	8
3	23	25	8
3	23	24	25
3	22	23	8
3	22	8	9
3	17	22	9
3 	9	10	17
3	17	10	16
3	16	10	11
3	11	15	16
3	11	14	15
3	14	11	12
3	12	13	14
3	21	22	18
3	18	22	17
3	20	21	19
3	19	21	18
3	34	32	33
3	63	32	34
3	35	63	34
3	62	63	35
3	36	62	35
3	37	62	36
3	37	61	62
3	38	61	37
3	38	60	61
3	38	60	61
3	59	60	38
3	39	59	38
3	58	59	39
3	40	58	39
3	57	58	40
3	55	57	40
3	55	56	57
3	54	55	40
3	54	40	41
3	49	54	41
3 	41	42	49
3	49	42	47
3	48	42	43
3	43	47	48
3	43	46	47
3	46	43	44
3	44	45	46
3	53	54	50
3	50	54	49
3	52	53	51
3	51	53	50
3	0	32	1
3	32	33	1
3	34	2	1
3	33	34	1
3	2	34	3
3	34	35	3
3	3	35	4
3	4	35	36
3	4	36	5
3	36	37	5
3	5	37	6
3	6	37	38
3	6	38	7
3	7	38	39
3	7	39	8
3	8	39	40
3	8	40	9
3	9	40	41
3	9	41	10
3	10	41	42
3	10	42	11
3	11	42	43
3	11	43	12
3	12	43	44
3	12	44	13
3	13	44	45
3	13	45	14
3	14	45	46
3	14	46	15
3	15	46	47
3	15	48	47
3	16	48	15
3	17	49	16
3	16	49	48	
3	17	49	18
3	18	49	50
3	18	50	19
3	19	50	51
3	20	52	21
3	21	52	53
3	21	53	22
3	22	53	54
3	22	54	23
3	23	54	55
3	23	55	24
3	24	55	56
3	24	56	25
3	25	56	57
3	25	57	26
3	26	57	58
3	26	58	27
3	27	58	59
3	27	59	28
3	28	59	60
3	28	60	29
3	29	60	61
3	29	61	30
3	30	61	62
3	30	31	31
3	30	63	62
3	0	32	31
3	31	32	63
3	31	62	63
3	15	46	47
3	15	48	47
3	16	48	15
3	17	49	16
3	16	49	48	
3	17	49	18
3	15	47	16
3	16	47	48
3	16	48	17
3	17	48	49
3	30	63	62
3	31	63	30
3	31	0	63
3	0	32	31
3	30	62	31
3	31	62	63
3	31	63	0
3	0	63	32

